"행정구역","2023년12월_계_총인구수","2023년12월_계_연령구간인구수","2023년12월_계_0세","2023년12월_계_1세","2023년12월_계_2세","2023년12월_계_3세","2023년12월_계_4세","2023년12월_계_5세","2023년12월_계_6세","2023년12월_계_7세","2023년12월_계_8세","2023년12월_계_9세","2023년12월_계_10세","2023년12월_계_11세","2023년12월_계_12세","2023년12월_계_13세","2023년12월_계_14세","2023년12월_계_15세","2023년12월_계_16세","2023년12월_계_17세","2023년12월_계_18세","2023년12월_계_19세","2023년12월_계_20세","2023년12월_계_21세","2023년12월_계_22세","2023년12월_계_23세","2023년12월_계_24세","2023년12월_계_25세","2023년12월_계_26세","2023년12월_계_27세","2023년12월_계_28세","2023년12월_계_29세","2023년12월_계_30세","2023년12월_계_31세","2023년12월_계_32세","2023년12월_계_33세","2023년12월_계_34세","2023년12월_계_35세","2023년12월_계_36세","2023년12월_계_37세","2023년12월_계_38세","2023년12월_계_39세","2023년12월_계_40세","2023년12월_계_41세","2023년12월_계_42세","2023년12월_계_43세","2023년12월_계_44세","2023년12월_계_45세","2023년12월_계_46세","2023년12월_계_47세","2023년12월_계_48세","2023년12월_계_49세","2023년12월_계_50세","2023년12월_계_51세","2023년12월_계_52세","2023년12월_계_53세","2023년12월_계_54세","2023년12월_계_55세","2023년12월_계_56세","2023년12월_계_57세","2023년12월_계_58세","2023년12월_계_59세","2023년12월_계_60세","2023년12월_계_61세","2023년12월_계_62세","2023년12월_계_63세","2023년12월_계_64세","2023년12월_계_65세","2023년12월_계_66세","2023년12월_계_67세","2023년12월_계_68세","2023년12월_계_69세","2023년12월_계_70세","2023년12월_계_71세","2023년12월_계_72세","2023년12월_계_73세","2023년12월_계_74세","2023년12월_계_75세","2023년12월_계_76세","2023년12월_계_77세","2023년12월_계_78세","2023년12월_계_79세","2023년12월_계_80세","2023년12월_계_81세","2023년12월_계_82세","2023년12월_계_83세","2023년12월_계_84세","2023년12월_계_85세","2023년12월_계_86세","2023년12월_계_87세","2023년12월_계_88세","2023년12월_계_89세","2023년12월_계_90세","2023년12월_계_91세","2023년12월_계_92세","2023년12월_계_93세","2023년12월_계_94세","2023년12월_계_95세","2023년12월_계_96세","2023년12월_계_97세","2023년12월_계_98세","2023년12월_계_99세","2023년12월_계_100세 이상"
"전국  (0000000000)","51,325,329","51,325,329","225,958","253,595","266,619","279,134","309,282","333,705","364,740","413,535","445,099","441,225","441,952","490,229","476,570","473,894","448,324","468,773","495,547","449,025","435,025","472,121","491,415","492,547","556,848","636,473","617,157","636,857","668,222","682,210","704,975","710,782","707,687","722,762","700,189","639,083","629,531","624,565","616,305","625,939","650,357","659,130","744,342","817,482","834,841","831,109","821,485","716,196","772,241","755,064","781,606","847,768","882,176","882,277","928,584","903,162","907,461","908,334","843,784","797,304","830,740","811,877","770,775","854,641","884,101","890,560","819,622","746,695","738,201","663,427","684,157","578,529","496,698","544,734","393,232","415,438","415,887","408,011","405,848","318,261","277,890","290,204","283,679","336,208","266,638","224,760","219,992","187,585","162,694","141,035","123,201","99,232","75,771","62,393","44,850","35,475","27,940","20,357","14,474","8,648","5,891","3,839","8,537"
"서울특별시  (1100000000)","9,386,034","9,386,034","37,771","41,087","43,013","43,637","47,506","50,291","55,100","62,036","66,691","66,430","66,672","74,287","71,911","72,773","69,371","73,898","78,204","72,331","70,353","83,411","90,143","91,928","107,831","131,911","133,245","144,366","156,937","161,989","167,679","169,782","166,912","167,885","160,863","144,144","138,171","135,207","128,904","127,826","129,669","127,824","140,499","149,016","150,876","149,267","147,369","125,833","136,639","134,499","137,417","148,658","154,267","157,344","165,379","159,648","157,049","152,744","142,296","130,464","138,553","137,813","131,053","141,351","144,609","149,541","140,281","130,606","130,134","118,290","124,747","105,326","92,368","100,301","69,598","77,304","77,477","76,056","77,140","61,726","53,348","53,151","50,902","58,700","45,877","37,680","35,672","29,804","25,648","21,523","18,774","14,634","11,300","9,131","6,569","5,341","4,468","3,233","2,360","1,387","887","670","1,448"
"부산광역시  (2600000000)","3,293,362","3,293,362","12,620","14,371","15,046","15,703","17,620","19,562","21,787","24,689","26,730","26,275","25,885","28,593","27,617","27,042","24,792","26,014","27,317","24,633","24,362","27,084","29,044","29,619","35,075","40,456","38,909","39,187","40,059","41,443","41,509","42,286","42,296","43,299","41,931","37,636","38,091","37,091","36,270","36,531","38,095","39,419","45,172","49,613","52,464","52,475","51,499","44,130","46,500","44,460","47,431","50,972","53,331","53,984","56,299","55,835","56,168","56,923","54,384","50,584","52,585","51,832","51,512","58,877","62,104","63,756","59,285","55,709","56,474","51,814","55,286","45,903","40,504","43,524","34,626","33,863","34,237","33,458","31,808","24,750","20,775","22,862","22,104","23,907","19,251","16,422","15,131","12,302","10,432","8,903","7,485","5,969","4,413","3,600","2,667","1,880","1,566","1,253","886","474","334","195","432"
"대구광역시  (2700000000)","2,374,960","2,374,960","9,288","10,675","11,476","12,056","14,092","15,212","17,059","19,530","20,557","20,458","20,203","22,532","21,803","21,565","20,200","21,384","22,801","20,689","20,740","22,204","24,199","23,465","26,924","30,441","28,884","28,260","29,628","29,815","30,729","30,125","30,214","30,936","30,022","27,351","27,642","25,822","26,096","26,725","27,564","27,593","31,940","35,655","36,932","36,748","37,038","31,702","35,170","34,864","36,786","39,279","41,461","42,429","43,942","43,037","43,704","44,769","42,372","38,665","40,707","39,713","37,416","41,964","43,270","41,317","40,783","33,917","35,296","32,197","32,761","27,059","25,229","27,408","20,911","20,482","21,092","20,900","19,454","13,670","12,151","14,226","14,442","15,918","12,792","10,662","10,513","8,569","7,498","6,429","5,614","4,451","3,329","2,742","1,938","1,424","1,038","794","539","306","205","117","265"
"인천광역시  (2800000000)","2,997,410","2,997,410","13,892","15,920","16,423","17,286","19,232","20,398","21,797","24,729","26,574","26,078","26,100","28,713","28,470","27,870","26,350","27,176","29,194","25,915","25,270","27,021","28,469","28,142","31,877","36,205","35,564","36,895","39,858","40,679","42,670","43,744","44,464","45,758","44,748","40,604","39,621","39,238","38,185","39,016","40,449","41,002","46,259","50,397","51,883","51,060","50,235","43,435","46,454","44,432","46,856","49,769","51,991","52,124","54,247","53,067","53,214","53,533","49,639","47,408","50,600","50,210","47,318","52,121","52,490","52,597","47,418","43,713","41,665","36,330","37,114","30,645","25,787","28,166","18,297","20,521","20,873","20,089","20,431","16,361","13,614","13,686","13,484","15,612","12,222","10,093","10,005","8,773","7,351","6,572","5,708","4,577","3,640","2,971","2,249","1,771","1,433","1,025","779","455","336","218","491"
"광주광역시  (2900000000)","1,419,237","1,419,237","6,065","7,459","8,038","8,120","9,234","10,017","11,144","12,673","13,453","13,576","13,742","15,278","14,692","15,002","14,311","14,807","15,962","14,503","14,123","15,105","16,292","16,183","18,471","20,474","19,389","19,444","20,246","19,931","20,550","19,925","19,405","19,555","18,498","16,450","16,038","15,972","16,086","16,466","17,409","18,196","20,907","23,233","23,248","23,157","23,713","20,647","22,576","22,466","22,247","25,065","25,330","25,435","26,348","25,592","24,274","25,499","23,041","22,275","22,155","20,725","20,761","20,614","20,921","22,609","20,237","18,001","17,627","14,945","15,884","13,133","11,324","12,647","10,166","10,640","11,019","10,057","10,586","8,341","7,269","7,079","6,360","8,631","6,596","5,350","5,006","4,376","3,816","3,004","2,724","2,322","1,680","1,381","997","881","677","436","295","213","140","68","207"
"대전광역시  (3000000000)","1,442,216","1,442,216","7,161","7,920","7,984","7,917","8,749","9,354","10,571","11,752","12,745","12,574","12,853","13,893","13,872","13,640","13,085","13,918","14,798","13,615","13,187","14,975","15,580","15,873","18,539","20,952","20,137","20,930","21,564","21,816","22,079","21,758","21,116","21,305","20,442","18,790","17,969","17,682","17,349","17,446","17,946","17,920","20,065","22,236","22,864","22,615","22,407","20,354","21,721","21,676","22,018","24,175","25,556","24,990","26,395","25,433","26,157","26,182","23,311","21,300","22,146","21,788","19,680","23,035","24,179","23,787","21,634","19,107","19,423","17,782","17,903","15,496","12,648","13,507","10,057","10,896","10,503","10,301","9,621","7,618","6,863","7,126","6,860","8,193","6,406","4,899","5,350","4,501","3,824","3,348","2,863","2,329","1,805","1,504","1,066","841","639","509","328","201","139","89","211"
"울산광역시  (3100000000)","1,103,661","1,103,661","4,959","5,392","6,090","6,450","7,252","7,898","8,836","10,238","10,987","10,984","10,863","11,936","11,361","11,289","10,723","11,135","11,752","10,343","10,015","10,045","10,175","9,765","11,028","12,342","11,803","12,386","13,141","13,669","14,139","14,074","14,055","14,314","14,367","13,148","13,441","12,964","12,941","13,395","13,784","14,500","16,445","18,488","19,085","19,261","18,768","16,339","17,425","16,558","17,144","18,601","19,383","19,601","20,981","20,672","21,254","21,830","20,827","19,964","20,815","19,487","18,111","20,076","20,737","19,969","18,152","16,488","15,726","14,194","14,230","11,624","10,485","10,408","8,050","7,829","7,424","7,316","6,681","4,865","4,045","4,483","4,451","4,983","3,519","3,191","2,895","2,469","2,019","1,741","1,518","1,271","987","762","581","395","343","232","189","106","80","50","79"
"세종특별자치시  (3600000000)","386,525","386,525","2,639","3,184","3,612","3,664","4,124","4,504","4,939","5,465","5,842","5,568","5,499","5,992","5,593","5,610","5,204","5,297","5,100","4,521","4,030","3,890","3,718","3,359","3,358","3,726","3,496","3,561","3,611","3,939","4,280","4,762","4,866","5,537","5,692","5,565","5,716","6,035","6,147","6,430","6,550","6,802","7,553","8,687","8,613","8,417","8,500","6,989","7,480","6,993","6,850","7,101","6,970","6,324","6,554","5,953","5,577","5,408","4,720","4,287","4,297","4,343","3,802","4,335","4,487","4,378","3,920","3,577","3,555","3,186","3,263","2,730","2,134","2,422","1,653","1,876","1,831","1,621","1,554","1,204","1,049","1,134","1,086","1,295","1,059","844","876","740","653","630","579","472","374","304","210","184","150","114","70","51","26","11","43"
"경기도  (4100000000)","13,630,821","13,630,821","68,030","77,729","80,214","83,766","92,309","99,339","107,355","121,609","130,466","128,733","127,485","141,419","136,489","135,750","128,248","133,672","139,563","126,683","120,669","130,653","133,536","133,051","148,975","171,752","167,713","174,295","180,999","184,142","192,472","195,203","196,192","202,820","198,544","181,699","180,122","180,863","177,941","180,908","189,321","190,324","215,046","235,857","241,235","238,605","234,830","203,497","219,077","213,622","219,447","235,715","243,814","244,109","255,055","246,283","245,103","240,976","220,936","209,045","217,550","213,128","197,348","215,779","217,992","217,244","195,757","180,060","171,299","152,354","154,443","129,517","109,904","120,533","78,181","86,709","86,444","85,800","86,803","70,406","61,224","61,099","59,251","68,515","55,274","46,512","45,061","38,970","33,998","29,338","25,648","20,462","15,680","12,920","9,285","7,545","5,979","4,415","3,098","1,938","1,316","885","1,852"
